2021-05-26 23:31:10.103 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:32:38.449 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 15624 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:32:38.452 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:32:39.206 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:32:39.209 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:32:39.251 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2021-05-26 23:32:39.727 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:32:39.736 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:32:39.736 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:32:39.736 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:32:39.817 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:32:39.818 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1317 ms
2021-05-26 23:32:39.986 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:32:41.415 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:32:41.425 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:35:19.584 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 7008 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:35:19.587 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:35:20.322 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:35:20.324 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:35:20.350 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2021-05-26 23:35:20.797 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:35:20.805 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:35:20.806 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:35:20.806 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:35:20.895 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:35:20.895 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1240 ms
2021-05-26 23:35:21.063 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:35:22.521 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:35:22.553 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:37:29.615 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 3876 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:37:29.619 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:37:30.475 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:37:30.477 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:37:30.505 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2021-05-26 23:37:30.976 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:37:30.983 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:37:30.984 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:37:30.984 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:37:31.063 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:37:31.063 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1364 ms
2021-05-26 23:37:31.221 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:37:31.964 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-05-26 23:37:33.204 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-05-26 23:37:33.343 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-05-26 23:37:34.075 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-05-26 23:37:34.121 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-05-26 23:37:34.123 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-05-26 23:37:34.139 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-05-26 23:37:34.185 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-05-26 23:37:34.411 [main] INFO  com.ccut.eduservice.EduApplication - Started EduApplication in 5.278 seconds (JVM running for 5.912)
